block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,inst_key.keys,inst_key.rt,ready_key.keys,ready_key.rt,condition,blockType,blockImage,TTL,date,frameRate,expName,session,participant,
0,0,0,0,space,19.448735869,space,2.91664843797,even,closed,rc-0,8,2017_Jun_26_1122,59.9933421848,RSI,001,100844,
1,0,1,0,space,25.2646194713,space,2.91663047655,even,open,ro-1,7,2017_Jun_26_1122,59.9933421848,RSI,001,100844,
2,0,2,0,space,12.4656686747,space,2.96661870541,even,open,ro-2,7,2017_Jun_26_1122,59.9933421848,RSI,001,100844,
3,0,3,0,space,10.7327498225,space,3.11662829552,even,closed,rc-2,8,2017_Jun_26_1122,59.9933421848,RSI,001,100844,
4,0,4,0,space,11.6323817417,space,3.39991128343,even,open,ro-3,7,2017_Jun_26_1122,59.9933421848,RSI,001,100844,
5,0,5,0,space,11.2161082483,space,2.8832770863,even,closed,rc-3,8,2017_Jun_26_1122,59.9933421848,RSI,001,100844,
6,0,6,0,space,11.4490578916,space,2.9832939572,even,closed,rc-3,8,2017_Jun_26_1122,59.9933421848,RSI,001,100844,
7,0,7,0,space,11.9496108466,space,2.98332186155,even,open,ro-3,7,2017_Jun_26_1122,59.9933421848,RSI,001,100844,
