IPosition2,IPosition3,IPosition1,IPosition6,IPosition4,IPosition5,TrialsM1.thisRepN,TrialsM1.thisTrialN,TrialsM1.thisN,TrialsM1.thisIndex,TrialsF1.thisRepN,TrialsF1.thisTrialN,TrialsF1.thisN,TrialsF1.thisIndex,TrialsM2.thisRepN,TrialsM2.thisTrialN,TrialsM2.thisN,TrialsM2.thisIndex,TrialsF2.thisRepN,TrialsF2.thisTrialN,TrialsF2.thisN,TrialsF2.thisIndex,TrialsM3.thisRepN,TrialsM3.thisTrialN,TrialsM3.thisN,TrialsM3.thisIndex,TrialsF3.thisRepN,TrialsF3.thisTrialN,TrialsF3.thisN,TrialsF3.thisIndex,InstrKey_resp.keys,InstrKey_resp.rt,Image0 _Position,Image1 _Position,Image2 _Position,Image3 _Position,Center_image,condition,code,correct_answer,accuracy,Key_Resp.keys,Key_Resp.rt,BreakKey_resp.keys,BreakKey_resp.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.18336936855,,,,,,,,,,,,,,2017_Oct_13_1815,60.0112601123,MAFE4ImagesEEG,001,201801,
AFSA21.JPG,AFNE22.JPG,AFNE21.JPG,AFSA23.JPG,AFSA22.JPG,AFNE23.JPG,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,AMSA16.jpg,AMNE20.jpg,AMNE01.jpg,AMSA06.jpg,AMNE20.jpg,MN,1,num_6,32,num_4,1.13346124452,,,2017_Oct_13_1815,60.0112601123,MAFE4ImagesEEG,001,201801,
AMSA25.JPG,AMNE24.JPG,AMSA24.JPG,AMNE26.JPG,AMSA21.JPG,AMNE25.JPG,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,AMSA04.jpg,AMNE08.jpg,AMSA02.jpg,AMNE06.jpg,AMSA04.jpg,MS,2,num_8,32,num_2,1.31673022127,,,2017_Oct_13_1815,60.0112601123,MAFE4ImagesEEG,001,201801,
AMSA21.JPG,AMNE22.JPG,AMNE21.JPG,AMSA23.JPG,AMSA22.JPG,AMNE23.JPG,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,AMNE07.jpg,AMSA14.jpg,AMNE14.jpg,AMSA19.jpg,AMSA14.jpg,MS,2,num_6,16,num_6,0.716793535394,,,2017_Oct_13_1815,60.0112601123,MAFE4ImagesEEG,001,201801,
AMSA21.JPG,AMNE23.JPG,AMNE21.JPG,AMSA25.JPG,AMNE25.JPG,AMSA23.JPG,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,AMSA03.jpg,AMNE12.jpg,AMNE06.jpg,AMSA16.jpg,AMNE06.jpg,MN,1,num_2,16,num_2,0.583506132127,,,2017_Oct_13_1815,60.0112601123,MAFE4ImagesEEG,001,201801,
AMNE23.JPG,AMNE24.JPG,AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMSA23.JPG,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,AMNE02.jpg,AMSA15.jpg,AMNE18.jpg,AMSA02.jpg,AMNE02.jpg,MN,1,num_8,32,num_4,0.466821199283,,,2017_Oct_13_1815,60.0112601123,MAFE4ImagesEEG,001,201801,
AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFNE25.JPG,AFNE24.JPG,AFSA25.JPG,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,AMSA16.jpg,AMNE19.jpg,AMNE07.jpg,AMSA09.jpg,AMSA16.jpg,MS,2,num_8,32,num_4,0.350256543956,,,2017_Oct_13_1815,60.0112601123,MAFE4ImagesEEG,001,201801,
AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMNE25.JPG,AMNE24.JPG,AMSA25.JPG,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,AMNE17.jpg,AMSA03.jpg,AMSA15.jpg,AMNE02.jpg,AMNE17.jpg,MN,1,num_8,16,num_8,0.800140740699,,,2017_Oct_13_1815,60.0112601123,MAFE4ImagesEEG,001,201801,
AFSA21.JPG,AFNE23.JPG,AFNE21.JPG,AFSA25.JPG,AFNE25.JPG,AFSA23.JPG,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,AMNE14.jpg,AMSA07.jpg,AMNE01.jpg,AMSA14.jpg,AMSA07.jpg,MS,2,num_6,16,num_6,1.01672852144,,,2017_Oct_13_1815,60.0112601123,MAFE4ImagesEEG,001,201801,
AFNE23.JPG,AFNE24.JPG,AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFSA23.JPG,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,AMNE07.jpg,AMSA09.jpg,AMSA13.jpg,AMNE02.jpg,AMNE07.jpg,MN,1,num_8,32,num_2,0.850071316469,,,2017_Oct_13_1815,60.0112601123,MAFE4ImagesEEG,001,201801,
