block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,inst_key.keys,inst_key.rt,ready_key.keys,ready_key.rt,condition,blockType,blockImage,TTL,date,frameRate,expName,session,participant,
0,0,0,0,space,24.8149418275,space,2.80000468279,odd,open,ro-0,7,2017_Jun_27_1540,60.0070442589,RSI,001,200759,
1,0,1,0,space,17.1318680684,space,2.74994467249,odd,closed,rc-1,8,2017_Jun_27_1540,60.0070442589,RSI,001,200759,
2,0,2,0,space,10.4825351097,space,2.79991615878,odd,closed,rc-2,8,2017_Jun_27_1540,60.0070442589,RSI,001,200759,
3,0,3,0,space,12.3826081741,space,2.73328868644,odd,open,ro-2,7,2017_Jun_27_1540,60.0070442589,RSI,001,200759,
4,0,4,0,space,11.2324088988,space,2.69995618703,odd,closed,rc-3,8,2017_Jun_27_1540,60.0070442589,RSI,001,200759,
5,0,5,0,space,11.6662577242,space,2.76663497763,odd,open,ro-3,7,2017_Jun_27_1540,60.0070442589,RSI,001,200759,
6,0,6,0,space,11.5323866395,space,2.7332883657,odd,open,ro-3,7,2017_Jun_27_1540,60.0070442589,RSI,001,200759,
7,0,7,0,space,11.1993775735,space,2.96667680203,odd,closed,rc-3,8,2017_Jun_27_1540,60.0070442589,RSI,001,200759,
