block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,inst_key.keys,inst_key.rt,ready_key.keys,ready_key.rt,condition,blockType,blockImage,TTL,date,frameRate,expName,session,participant,
0,0,0,0,space,16.8988606703,space,2.76665967455,even,closed,rc-0,8,2017_Jun_27_1245,59.9923802045,RSI,001,100818,
1,0,1,0,space,25.2313122916,space,2.78333715013,even,open,ro-1,7,2017_Jun_27_1245,59.9923802045,RSI,001,100818,
2,0,2,0,space,12.3156391145,space,2.71672250736,even,open,ro-2,7,2017_Jun_27_1245,59.9923802045,RSI,001,100818,
3,0,3,0,space,10.3492423178,space,2.85270982918,even,closed,rc-2,8,2017_Jun_27_1245,59.9923802045,RSI,001,100818,
4,0,4,0,space,11.5157075603,space,2.65001420875,even,open,ro-3,7,2017_Jun_27_1245,59.9923802045,RSI,001,100818,
5,0,5,0,space,11.1827065127,space,2.76671612465,even,closed,rc-3,8,2017_Jun_27_1245,59.9923802045,RSI,001,100818,
6,0,6,0,space,11.1988862011,space,2.78344588072,even,closed,rc-3,8,2017_Jun_27_1245,59.9923802045,RSI,001,100818,
7,0,7,0,space,11.5490573796,space,2.78335030043,even,open,ro-3,7,2017_Jun_27_1245,59.9923802045,RSI,001,100818,
