IPosition2,IPosition3,IPosition1,IPosition6,IPosition4,IPosition5,TrialsF1.thisRepN,TrialsF1.thisTrialN,TrialsF1.thisN,TrialsF1.thisIndex,TrialsM1.thisRepN,TrialsM1.thisTrialN,TrialsM1.thisN,TrialsM1.thisIndex,TrialsF2.thisRepN,TrialsF2.thisTrialN,TrialsF2.thisN,TrialsF2.thisIndex,TrialsM2.thisRepN,TrialsM2.thisTrialN,TrialsM2.thisN,TrialsM2.thisIndex,TrialsF3.thisRepN,TrialsF3.thisTrialN,TrialsF3.thisN,TrialsF3.thisIndex,TrialsM3.thisRepN,TrialsM3.thisTrialN,TrialsM3.thisN,TrialsM3.thisIndex,InstrKey_resp.keys,InstrKey_resp.rt,Image0 _Position,Image1 _Position,Image2 _Position,Image3 _Position,Center_image,condition,code,correct_answer,accuracy,Key_Resp.keys,Key_Resp.rt,BreakKey_resp.keys,BreakKey_resp.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,13.1328646478,,,,,,,,,,,,,,2018_Feb_15_1649,59.9929382117,FEMA4ImagesEEG,001,202854,
AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMNE25.JPG,AMNE24.JPG,AMSA25.JPG,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,AFNE05.jpg,AFSA02.jpg,AFNE04.jpg,AFSA01.jpg,AFNE04.jpg,FN,3,num_2,16,num_2,1.33343575615,,,2018_Feb_15_1649,59.9929382117,FEMA4ImagesEEG,001,202854,
AFSA21.JPG,AFNE23.JPG,AFNE21.JPG,AFSA25.JPG,AFNE25.JPG,AFSA23.JPG,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,AFSA17.jpg,AFNE18.jpg,AFNE03.jpg,AFSA15.jpg,AFSA15.jpg,FS,4,num_4,16,num_4,1.31678874535,,,2018_Feb_15_1649,59.9929382117,FEMA4ImagesEEG,001,202854,
AMSA25.JPG,AMNE24.JPG,AMSA24.JPG,AMNE26.JPG,AMSA21.JPG,AMNE25.JPG,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,AFSA12.jpg,AFNE18.jpg,AFSA09.jpg,AFNE01.jpg,AFNE18.jpg,FN,3,num_6,16,num_6,1.11678726994,,,2018_Feb_15_1649,59.9929382117,FEMA4ImagesEEG,001,202854,
AMSA21.JPG,AMNE23.JPG,AMNE21.JPG,AMSA25.JPG,AMNE25.JPG,AMSA23.JPG,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,AFNE16.jpg,AFNE20.jpg,AFSA07.jpg,AFSA01.jpg,AFSA01.jpg,FS,4,num_4,16,num_4,1.13346859976,,,2018_Feb_15_1649,59.9929382117,FEMA4ImagesEEG,001,202854,
AMSA21.JPG,AMNE22.JPG,AMNE21.JPG,AMSA23.JPG,AMSA22.JPG,AMNE23.JPG,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,AFNE17.jpg,AFSA06.jpg,AFNE16.jpg,AFSA08.jpg,AFNE16.jpg,FN,3,num_2,16,num_2,0.616764337057,,,2018_Feb_15_1649,59.9929382117,FEMA4ImagesEEG,001,202854,
AFSA21.JPG,AFNE22.JPG,AFNE21.JPG,AFSA23.JPG,AFSA22.JPG,AFNE23.JPG,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,AFNE11.jpg,AFSA06.jpg,AFSA20.jpg,AFNE10.jpg,AFNE11.jpg,FN,3,num_8,32,num_4,1.94986684504,,,2018_Feb_15_1649,59.9929382117,FEMA4ImagesEEG,001,202854,
AFSA25.JPG,AFNE24.JPG,AFSA24.JPG,AFNE21.JPG,AFSA21.JPG,AFNE25.JPG,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,AFSA02.jpg,AFNE11.jpg,AFSA04.jpg,AFNE01.jpg,AFNE01.jpg,FN,3,num_4,32,num_8,1.85004443838,,,2018_Feb_15_1649,59.9929382117,FEMA4ImagesEEG,001,202854,
AFNE23.JPG,AFNE24.JPG,AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFSA23.JPG,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,AFNE01.jpg,AFSA09.jpg,AFSA07.jpg,AFNE12.jpg,AFNE01.jpg,FN,3,num_8,32,num_2,2.75002862606,,,2018_Feb_15_1649,59.9929382117,FEMA4ImagesEEG,001,202854,
AMNE23.JPG,AMNE24.JPG,AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMSA23.JPG,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,AFNE20.jpg,AFSA12.jpg,AFSA16.jpg,AFNE15.jpg,AFNE15.jpg,FN,3,num_4,16,num_4,0.98343990976,,,2018_Feb_15_1649,59.9929382117,FEMA4ImagesEEG,001,202854,
