IPosition2,IPosition3,IPosition1,IPosition6,IPosition4,IPosition5,TrialsM1.thisRepN,TrialsM1.thisTrialN,TrialsM1.thisN,TrialsM1.thisIndex,TrialsF1.thisRepN,TrialsF1.thisTrialN,TrialsF1.thisN,TrialsF1.thisIndex,TrialsM2.thisRepN,TrialsM2.thisTrialN,TrialsM2.thisN,TrialsM2.thisIndex,TrialsF2.thisRepN,TrialsF2.thisTrialN,TrialsF2.thisN,TrialsF2.thisIndex,TrialsM3.thisRepN,TrialsM3.thisTrialN,TrialsM3.thisN,TrialsM3.thisIndex,TrialsF3.thisRepN,TrialsF3.thisTrialN,TrialsF3.thisN,TrialsF3.thisIndex,InstrKey_resp.keys,InstrKey_resp.rt,Image0 _Position,Image1 _Position,Image2 _Position,Image3 _Position,Center_image,condition,code,correct_answer,accuracy,Key_Resp.keys,Key_Resp.rt,BreakKey_resp.keys,BreakKey_resp.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.66645112983,,,,,,,,,,,,,,2017_Dec_11_1224,59.9942272403,MAFE4ImagesEEG,001,202427,
AMSA21.JPG,AMNE23.JPG,AMNE21.JPG,AMSA25.JPG,AMNE25.JPG,AMSA23.JPG,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,AMSA02.jpg,AMSA03.jpg,AMNE13.jpg,AMNE12.jpg,AMSA03.jpg,MS,2,num_6,16,num_6,1.91695549223,,,2017_Dec_11_1224,59.9942272403,MAFE4ImagesEEG,001,202427,
AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMNE25.JPG,AMNE24.JPG,AMSA25.JPG,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,AMNE02.jpg,AMSA15.jpg,AMSA10.jpg,AMNE07.jpg,AMSA10.jpg,MS,2,num_2,16,num_2,1.13352019596,,,2017_Dec_11_1224,59.9942272403,MAFE4ImagesEEG,001,202427,
AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFNE25.JPG,AFNE24.JPG,AFSA25.JPG,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,AMSA01.jpg,AMSA06.jpg,AMNE13.jpg,AMNE16.jpg,AMSA01.jpg,MS,2,num_8,16,num_8,1.26675525494,,,2017_Dec_11_1224,59.9942272403,MAFE4ImagesEEG,001,202427,
AFSA25.JPG,AFNE24.JPG,AFSA24.JPG,AFNE21.JPG,AFSA21.JPG,AFNE25.JPG,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,AMNE06.jpg,AMSA11.jpg,AMSA13.jpg,AMNE11.jpg,AMNE06.jpg,MN,1,num_8,32,num_4,1.53336040373,,,2017_Dec_11_1224,59.9942272403,MAFE4ImagesEEG,001,202427,
AFSA21.JPG,AFNE23.JPG,AFNE21.JPG,AFSA25.JPG,AFNE25.JPG,AFSA23.JPG,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,AMNE16.jpg,AMSA20.jpg,AMSA01.jpg,AMNE09.jpg,AMNE09.jpg,MN,1,num_4,32,num_8,1.08344671479,,,2017_Dec_11_1224,59.9942272403,MAFE4ImagesEEG,001,202427,
AMSA21.JPG,AMNE22.JPG,AMNE21.JPG,AMSA23.JPG,AMSA22.JPG,AMNE23.JPG,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,AMSA19.jpg,AMNE05.jpg,AMNE11.jpg,AMSA07.jpg,AMSA19.jpg,MS,2,num_8,32,num_2,1.3334276306,,,2017_Dec_11_1224,59.9942272403,MAFE4ImagesEEG,001,202427,
AMNE23.JPG,AMNE24.JPG,AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMSA23.JPG,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,AMSA11.jpg,AMNE03.jpg,AMNE14.jpg,AMSA12.jpg,AMSA11.jpg,MS,2,num_8,16,num_8,1.26669912529,,,2017_Dec_11_1224,59.9942272403,MAFE4ImagesEEG,001,202427,
AMSA25.JPG,AMNE24.JPG,AMSA24.JPG,AMNE26.JPG,AMSA21.JPG,AMNE25.JPG,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,AMSA05.jpg,AMSA18.jpg,AMNE17.jpg,AMNE08.jpg,AMSA05.jpg,MS,2,num_8,32,num_4,2.51662679878,,,2017_Dec_11_1224,59.9942272403,MAFE4ImagesEEG,001,202427,
AFNE23.JPG,AFNE24.JPG,AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFSA23.JPG,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,AMNE17.jpg,AMSA18.jpg,AMSA03.jpg,AMNE10.jpg,AMSA03.jpg,MS,2,num_2,32,num_6,1.18346955138,,,2017_Dec_11_1224,59.9942272403,MAFE4ImagesEEG,001,202427,
